date,measure,value
2014-04-01,m2_total,1469619.31941935
2014-04-01,m2_deposit_fx,89574.70231400001
2014-04-01,m2_deposit_other,212091.082849
2014-04-01,m1_total,325494.86870535003
2014-04-01,m2_deposit_saving,137092.976831
2014-04-01,m3_deposit_other,16789.133406999987
2014-04-01,m1_currency,65609.09143335001
2014-04-01,m2_repo,515.427517
2014-04-01,m1_deposit_demand,259885.777272
2014-05-01,m2_deposit_other,213104.960929
2014-05-01,m2_nid,24304.611942
2014-05-01,m1_deposit_demand,257833.17479599998
2014-05-01,m3_total,1495425.97312127
2014-05-01,m1_currency,66197.66476827001
2014-05-01,m2_total,1476642.7089382699
2014-05-01,m3_deposit_other,18783.264183000196
2014-05-01,m2_repo,2789.18536
2014-05-01,m1_total,324030.83956427
2014-05-01,m2_deposit_fx,91368.16677
2014-05-01,m2_deposit_fixed,685784.578813
2014-05-01,m2_deposit_saving,135260.36556
2014-06-01,m2_deposit_fx,93801.57363599997
2014-06-01,m2_total,1479547.4481147
2014-06-01,m2_deposit_fixed,679784.506704
2014-06-01,m3_deposit_other,16913.0770070001
2014-06-01,m1_deposit_demand,263728.683959
2014-06-01,m2_nid,18011.548081
2014-06-01,m1_currency,65531.14690669999
2014-06-01,m3_total,1496460.5251217
2014-06-01,m2_deposit_other,221415.36043899995
2014-06-01,m2_deposit_saving,136128.235899
2014-06-01,m1_total,329259.8308657
2014-06-01,m2_repo,1146.39249
2014-07-01,m2_deposit_fx,97961.61152599998
2014-07-01,m3_deposit_other,16741.900551000144
2014-07-01,m1_total,331856.75530610007
2014-07-01,m2_deposit_saving,136394.755469
2014-07-01,m1_currency,68323.84904210002
2014-07-01,m2_repo,2205.373948
2014-07-01,m2_deposit_other,221829.079691
2014-07-01,m3_total,1506044.2106601
2014-07-01,m1_deposit_demand,263532.906264
2014-07-01,m2_nid,18006.395468
2014-07-01,m2_total,1489302.3101090998
2014-07-01,m2_deposit_fixed,681048.338701
2014-08-01,m2_deposit_fixed,687515.903071
