date,category,variable,value
1996-01-01,budget,spending_de_gross,14628
1996-01-01,budget,revenue,58280
1996-01-01,budget,balance,1815
1996-01-01,financing,asset_use,-929
1996-01-01,financing,foreign_net,-2177
1996-01-01,financing,foreign_gross,749
1996-01-01,financing,domestic_net,1291
1996-01-01,financing,domestic_gross,6000
1996-01-01,budget,spending_covid19,0
1997-01-01,budget,spending_de_net,14445
1997-01-01,budget,spending_covid19,0
1997-01-01,budget,spending_de_gross,15750
1997-01-01,budget,spending_oe,44665
1997-01-01,budget,revenue,65736
1997-01-01,budget,balance,6626
1997-01-01,financing,asset_use,-2897
1997-01-01,financing,foreign_net,-1681
1997-01-01,financing,foreign_gross,462
1997-01-01,financing,domestic_net,-2048
1997-01-01,financing,domestic_gross,3000
1998-01-01,financing,domestic_gross,17990
1998-01-01,budget,spending_covid19,0
1998-01-01,budget,spending_de_net,17128
1998-01-01,budget,spending_de_gross,18103
1998-01-01,budget,spending_oe,44584
1998-01-01,budget,revenue,56710
1998-01-01,budget,balance,-5002
1998-01-01,financing,asset_use,-7857
1998-01-01,financing,foreign_net,1819
1998-01-01,financing,foreign_gross,4001
1998-01-01,financing,domestic_net,11040
1999-01-01,financing,domestic_net,5423
1999-01-01,financing,domestic_gross,19281
1999-01-01,budget,spending_covid19,0
1999-01-01,budget,spending_de_net,21462
1999-01-01,budget,spending_de_gross,22614
1999-01-01,budget,spending_oe,46699
1999-01-01,budget,revenue,58675
1999-01-01,budget,balance,-9486
1999-01-01,financing,asset_use,1140
1999-01-01,financing,foreign_net,2923
1999-01-01,financing,foreign_gross,4763
2000-01-01,financing,foreign_gross,4767
2000-01-01,financing,domestic_net,12714
2000-01-01,financing,domestic_gross,23182
2000-01-01,budget,spending_covid19,0
2000-01-01,budget,spending_de_net,25032
2000-01-01,budget,spending_de_gross,27941
2000-01-01,budget,revenue,61864
2000-01-01,budget,spending_oe,56547
2000-01-01,budget,balance,-19715
2000-01-01,financing,asset_use,6136
2000-01-01,financing,foreign_net,864
2001-01-01,financing,foreign_net,6295
2001-01-01,financing,foreign_gross,7030
2001-01-01,financing,domestic_net,13381
2001-01-01,financing,domestic_gross,23500
2001-01-01,budget,spending_covid19,0
2001-01-01,budget,spending_de_gross,35235
2001-01-01,budget,spending_de_net,34232
2001-01-01,budget,spending_oe,63757
2001-01-01,budget,revenue,79567
2001-01-01,budget,balance,-18422
2001-01-01,financing,asset_use,-1253
2002-01-01,financing,asset_use,6157
2002-01-01,financing,foreign_net,8020
2002-01-01,financing,foreign_gross,10465
2002-01-01,financing,domestic_net,6076
2002-01-01,budget,spending_covid19,0
2002-01-01,financing,domestic_gross,18000
