series,date,exports,exports_domestic,re_exports,imports,imports_retained,total,balance
abs,2002-08-01,31509652096.0,,,26830891766.0,,58340543862.0,4678760330.0
abs,2002-09-01,31196582867.0,,,26416151108.0,,57612733975.0,4780431759.0
abs,2002-10-01,33023867947.0,,,26994854552.0,,60018722499.0,6029013395.0
abs,2002-11-01,32075412101.0,,,25606045802.0,,57681457903.0,6469366299.0
abs,2002-12-01,29687213053.0,,,24235602593.0,,53922815646.0,5451610460.0
abs,2003-01-01,31622061328.0,,,24541827701.0,,56163889029.0,7080233627.0
abs,2003-02-01,27006772637.0,,,21284135134.0,,48290907771.0,5722637503.0
abs,2003-03-01,33107681531.0,,,25834140270.0,,58941821801.0,7273541261.0
abs,2003-04-01,32155266872.0,,,25463889805.0,,57619156677.0,6691377067.0
abs,2003-05-01,31952415059.0,,,24973417969.0,,56925833028.0,6978997090.0
abs,2003-06-01,32391394845.0,,,24911579076.0,,57302973921.0,7479815769.0
abs,2003-07-01,32997985742.0,,,27596949473.0,,60594935215.0,5401036269.0
abs,2003-08-01,33461772492.0,,,25519297789.0,,58981070281.0,7942474703.0
abs,2003-09-01,34059586361.0,,,27317682752.0,,61377269113.0,6741903609.0
abs,2003-10-01,37106151914.0,,,30368985271.0,,67475137185.0,6737166643.0
abs,2003-11-01,33256041420.0,,,26602971794.0,,59859013214.0,6653069626.0
abs,2003-12-01,38767261027.0,,,32122976140.0,,70890237167.0,6644284887.0
abs,2004-01-01,35316065206.0,,,28518240804.0,,63834306010.0,6797824402.0
abs,2004-02-01,32432734860.0,,,26382054409.0,,58814789269.0,6050680451.0
abs,2004-03-01,40238448602.0,,,33323302835.0,,73561751437.0,6915145767.0
abs,2004-04-01,39876514956.0,,,33525332913.0,,73401847869.0,6351182043.0
abs,2004-05-01,38630957600.0,,,31589334324.0,,70220291924.0,7041623276.0
abs,2004-06-01,39877834310.0,,,34645553686.0,,74523387996.0,5232280624.0
abs,2004-07-01,42435331205.0,,,34929971772.0,,77365302977.0,7505359433.0
abs,2004-08-01,41529135846.0,,,33329564410.0,,74858700256.0,8199571436.0
abs,2004-09-01,44450311537.0,,,37635523962.0,,82085835499.0,6814787575.0
abs,2004-10-01,44128365943.0,,,36031193994.0,,80159559937.0,8097171949.0
abs,2004-11-01,38741533723.0,,,32769530878.0,,71511064601.0,5972002845.0
abs,2004-12-01,43595758641.0,,,36952566941.0,,80548325582.0,6643191700.0
abs,2005-01-01,39205808930.0,,,31245787987.0,,70451596917.0,7960020943.0
abs,2005-02-01,36824804960.0,,,29459812858.0,,66284617818.0,7364992102.0
abs,2005-03-01,46987097029.0,,,36538367802.0,,83525464831.0,10448729227.0
abs,2005-04-01,43797531125.0,,,34996874420.0,,78794405545.0,8800656705.0
abs,2005-05-01,42915869585.0,,,35960427961.0,,78876297546.0,6955441624.0
abs,2005-06-01,44749721803.0,,,36731166921.0,,81480888724.0,8018554882.0
abs,2005-07-01,43784289554.0,,,37599442074.0,,81383731628.0,6184847480.0
abs,2005-08-01,46746312908.0,,,36654458072.0,,83400770980.0,10091854836.0
abs,2005-09-01,48016870418.0,,,39967688863.0,,87984559281.0,8049181555.0
abs,2005-10-01,49748242713.0,,,39129358191.0,,88877600904.0,10618884522.0
abs,2005-11-01,43711720972.0,,,34610917341.0,,78322638313.0,9100803631.0
abs,2005-12-01,49745390585.0,,,39976495173.0,,89721885758.0,9768895412.0
abs,2006-01-01,43199834655.0,,,34170419111.0,,77370253766.0,9029415544.0
abs,2006-02-01,42409082571.0,,,34732835413.0,,77141917984.0,7676247158.0
abs,2006-03-01,51429024693.0,,,41522379826.0,,92951404519.0,9906644867.0
abs,2006-04-01,45900138502.0,,,38715697672.0,,84615836174.0,7184440830.0
abs,2006-05-01,48243868633.0,,,39922705561.0,,88166574194.0,8321163072.0
abs,2006-06-01,49157212456.0,,,40629381278.0,,89786593734.0,8527831178.0
abs,2006-07-01,50558415878.0,,,41131605572.0,,91690021450.0,9426810306.0
abs,2006-08-01,53409587314.0,,,43088296816.0,,96497884130.0,10321290498.0
abs,2006-09-01,53120776711.0,,,42540097169.0,,95660873880.0,10580679542.0
abs,2006-10-01,48039233962.0,,,38296930412.0,,86336164374.0,9742303550.0
abs,2006-11-01,51331488691.0,,,42045124906.0,,93376613597.0,9286363785.0
abs,2006-12-01,52441680434.0,,,41352448828.0,,93794129262.0,11089231606.0
abs,2007-01-01,47982139078.0,,,40337814350.0,,88319953428.0,7644324728.0
abs,2007-02-01,40894793672.0,,,34116194941.0,,75010988613.0,6778598731.0
abs,2007-03-01,48793518306.0,,,42357448820.0,,91150967126.0,6436069486.0
abs,2007-04-01,45968460257.0,,,40212907057.0,,86181367314.0,5755553200.0
abs,2007-05-01,49702123724.0,,,41571812540.0,,91273936264.0,8130311184.0
abs,2007-06-01,49118554366.0,,,40296430982.0,,89414985348.0,8822123384.0
abs,2007-07-01,50384374708.0,,,42443212029.0,,92827586737.0,7941162679.0
abs,2007-08-01,53863036467.0,,,44590871421.0,,98453907888.0,9272165046.0
abs,2007-09-01,54123978975.0,,,42530759776.0,,96654738751.0,11593219199.0
abs,2007-10-01,54763008243.0,,,45374628800.0,,100137637043.0,9388379443.0
abs,2007-11-01,54453930843.0,,,43948747030.0,,98402677873.0,10505183813.0
abs,2007-12-01,54251713780.0,,,44263796596.0,,98515510376.0,9987917184.0
abs,2008-01-01,53180806399.0,51348616116.0,1832190283.0,43209404432.0,41377214149.0,96390210831.0,9971401967.0
abs,2008-02-01,47265650380.0,45725774796.00001,1539875583.9999924,37902956153.0,36363080569.00001,85168606533.0,9362694227.0
growth_mom,2008-02-01,-11.1,-11.0,-16.0,-12.3,-12.1,-11.6,-6.1
abs,2008-03-01,51800899053.0,50191944205.00001,1608954847.9999924,43612984629.0,42004029781.00001,95413883682.0,8187914424.0
growth_mom,2008-03-01,9.6,9.8,4.5,15.1,15.5,12.0,-12.5
abs,2008-04-01,55743052768.0,53890989966.0,1852062802.0,43230710388.0,41378647586.0,98973763156.0,12512342380.0
growth_mom,2008-04-01,7.6,7.4,15.1,-0.9,-1.5,3.7,52.8
abs,2008-05-01,61171154113.0,59223725996.0,1947428117.0,45403684956.0,43456256839.0,106574839069.0,15767469157.0
growth_mom,2008-05-01,9.7,9.9,5.1,5.0,5.0,7.7,26.0
abs,2008-06-01,58439018495.0,56607112086.00001,1831906408.9999924,45101993279.0,43270086870.00001,103541011774.0,13337025216.0
growth_mom,2008-06-01,-4.5,-4.4,-5.9,-0.7,-0.4,-2.8,-15.4
abs,2008-07-01,63471705615.0,61489213799.99999,1982491815.0000076,48727478539.0,46744986723.99999,112199184154.0,14744227076.0
growth_mom,2008-07-01,8.6,8.6,8.2,8.0,8.0,8.4,10.6
abs,2008-08-01,59971938884.0,57815646086.00001,2156292797.9999924,46856632099.0,44700339301.00001,106828570983.0,13115306785.0
growth_mom,2008-08-01,-5.5,-6.0,8.8,-3.8,-4.4,-4.8,-11.0
abs,2008-09-01,62824502592.0,60865697392.99999,1958805199.0000076,47400685451.0,45441880251.99999,110225188043.0,15423817141.0
growth_mom,2008-09-01,4.8,5.3,-9.2,1.2,1.7,3.2,17.6
abs,2008-10-01,52823431047.0,51045471115.0,1777959932.0,43708568387.0,41930608455.0,96531999434.0,9114862660.0
growth_mom,2008-10-01,-15.9,-16.1,-9.2,-7.8,-7.7,-12.4,-40.9
abs,2008-11-01,51308452347.0,49518954288.0,1789498059.0,40211898440.0,38422400381.0,91520350787.0,11096553907.0
growth_mom,2008-11-01,-2.9,-3.0,0.6,-8.0,-8.4,-5.2,21.7
abs,2008-12-01,45012902913.0,43472975354.0,1539927559.0,34437296964.0,32897369404.999996,79450199877.0,10575605949.0
growth_mom,2008-12-01,-12.3,-12.2,-13.9,-14.4,-14.4,-13.2,-4.7
abs,2009-01-01,37002648486.0,35550544300.0,1452104186.0,30070504118.0,28618399932.0,67073152604.0,6932144368.0
growth_yoy,2009-01-01,-30.4,-30.8,-20.7,-30.4,-30.8,-30.4,-30.5
growth_mom,2009-01-01,-17.8,-18.2,-5.7,-12.7,-13.0,-15.6,-34.5
abs,2009-02-01,38456095993.0,36790699536.0,1665396457.0,27362322874.0,25696926416.999996,65818418867.0,11093773119.0
growth_yoy,2009-02-01,-18.6,-19.5,8.2,-27.8,-29.3,-22.7,18.5
growth_mom,2009-02-01,3.9,3.5,14.7,-9.0,-10.2,-1.9,60.0
abs,2009-03-01,42523581045.0,40707699332.0,1815881713.0,30909358931.0,29093477218.0,73432939976.0,11614222114.0
growth_yoy,2009-03-01,-17.9,-18.9,12.9,-29.1,-30.7,-23.0,41.8
growth_mom,2009-03-01,10.6,10.6,9.0,13.0,13.2,11.6,4.7
abs,2009-04-01,41181082433.0,39429208598.0,1751873835.0,33715400719.0,31963526884.0,74896483152.0,7465681714.0
growth_yoy,2009-04-01,-26.1,-26.8,-5.4,-22.0,-22.8,-24.3,-40.3
growth_mom,2009-04-01,-3.2,-3.1,-3.5,9.1,9.9,2.0,-35.7
abs,2009-05-01,43100989159.0,40990042121.0,2110947038.0,32996217735.0,30885270697.0,76097206894.0,10104771424.0
growth_yoy,2009-05-01,-29.5,-30.8,8.4,-27.3,-28.9,-28.6,-35.9
growth_mom,2009-05-01,4.7,4.0,20.5,-2.1,-3.4,1.6,35.3
abs,2009-06-01,45369425461.0,43313359547.0,2056065914.0,35980539906.0,33924473992.0,81349965367.0,9388885555.0
growth_yoy,2009-06-01,-22.4,-23.5,12.2,-20.2,-21.6,-21.4,-29.6
growth_mom,2009-06-01,5.3,5.7,-2.6,9.0,9.8,6.9,-7.1
abs,2009-07-01,49312749069.0,46606239384.00001,2706509684.9999924,40988869787.0,38282360102.00001,90301618856.0,8323879282.0
growth_yoy,2009-07-01,-22.3,-24.2,36.5,-15.9,-18.1,-19.5,-43.5
growth_mom,2009-07-01,8.7,7.6,31.6,13.9,12.8,11.0,-11.3
abs,2009-08-01,48290955470.0,45802804798.0,2488150672.0,38255048665.0,35766897993.0,86546004135.0,10035906805.0
growth_yoy,2009-08-01,-19.5,-20.8,15.4,-18.4,-20.0,-19.0,-23.5
growth_mom,2009-08-01,-2.1,-1.7,-8.1,-6.7,-6.6,-4.2,20.6
abs,2009-09-01,47778690853.0,45619149769.00001,2159541083.9999924,37959731261.0,35800190177.00001,85738422114.0,9818959592.0
growth_yoy,2009-09-01,-23.9,-25.0,10.2,-19.9,-21.2,-22.2,-36.3
growth_mom,2009-09-01,-1.1,-0.4,-13.2,-0.8,0.1,-0.9,-2.2
abs,2009-10-01,54687916585.0,51358172204.0,3329744381.0,42803401516.0,39473657135.0,97491318101.0,11884515069.0
growth_yoy,2009-10-01,3.5,0.6,87.3,-2.1,-5.9,1.0,30.4
growth_mom,2009-10-01,14.5,12.6,54.2,12.8,10.3,13.7,21.0
abs,2009-11-01,50084844633.0,47477425909.0,2607418724.0,41115630946.0,38508212222.0,91200475579.0,8969213687.0
growth_yoy,2009-11-01,-2.4,-4.1,45.7,2.2,0.2,-0.3,-19.2
growth_mom,2009-11-01,-8.4,-7.6,-21.7,-3.9,-2.4,-6.5,-24.5
abs,2009-12-01,54729127467.0,51773076566.0,2956050901.0,42512775825.0,39556724924.0,97241903292.0,12216351642.0
growth_yoy,2009-12-01,21.6,19.1,92.0,23.4,20.2,22.4,15.5
growth_mom,2009-12-01,9.3,9.0,13.4,3.4,2.7,6.6,36.2
abs,2010-01-01,52527084826.0,49884097003.0,2642987823.0,39445934003.0,36802946180.0,91973018829.0,13081150823.0
growth_yoy,2010-01-01,42.0,40.3,82.0,31.2,28.6,37.1,88.7
growth_mom,2010-01-01,-4.0,-3.6,-10.6,-7.2,-7.0,-5.4,7.1
abs,2010-02-01,46641030131.0,43935335477.0,2705694654.0,35104863869.0,32399169215.0,81745894000.0,11536166262.0
growth_yoy,2010-02-01,21.3,19.4,62.5,28.3,26.1,24.2,4.0
growth_mom,2010-02-01,-11.2,-11.9,2.4,-11.0,-12.0,-11.1,-11.8
abs,2010-03-01,59433342729.0,56242195494.0,3191147235.0,45061534362.0,41870387127.0,104494877091.0,14371808367.0
growth_yoy,2010-03-01,39.8,38.2,75.7,45.8,43.9,42.3,23.7
growth_mom,2010-03-01,27.4,28.0,17.9,28.4,29.2,27.8,24.6
abs,2010-04-01,51896054735.0,48970293598.0,2925761137.0,42706858437.0,39781097300.0,94602913172.0,9189196298.0
growth_yoy,2010-04-01,26.0,24.2,67.0,26.7,24.5,26.3,23.1
growth_mom,2010-04-01,-12.7,-12.9,-8.3,-5.2,-5.0,-9.5,-36.1
abs,2010-05-01,52289540476.0,49386602955.0,2902937521.0,44093839779.0,41190902258.0,96383380255.0,8195700697.0
growth_yoy,2010-05-01,21.3,20.5,37.5,33.6,33.4,26.7,-18.9
growth_mom,2010-05-01,0.8,0.9,-0.8,3.2,3.5,1.9,-10.8
abs,2010-06-01,52785411913.0,49742994560.0,3042417353.0,46743711854.0,43701294501.0,99529123767.0,6041700059.0
growth_yoy,2010-06-01,16.3,14.8,48.0,29.9,28.8,22.3,-35.7
growth_mom,2010-06-01,0.9,0.7,4.8,6.0,6.1,3.3,-26.3
abs,2010-07-01,55329798346.0,51862390133.0,3467408213.0,48386135154.0,44918726941.0,103715933500.0,6943663192.0
growth_yoy,2010-07-01,12.2,11.3,28.1,18.0,17.3,14.9,-16.6
growth_mom,2010-07-01,4.8,4.3,14.0,3.5,2.8,4.2,14.9
abs,2010-08-01,52795410850.0,49961536943.0,2833873907.0,44522912597.0,41689038690.0,97318323447.0,8272498253.0
growth_yoy,2010-08-01,9.3,9.1,13.9,16.4,16.6,12.4,-17.6
growth_mom,2010-08-01,-4.6,-3.7,-18.3,-8.0,-7.2,-6.2,19.1
abs,2010-09-01,50321711031.0,47731057193.0,2590653838.0,43462698542.0,40872044704.0,93784409573.0,6859012489.0
growth_yoy,2010-09-01,5.3,4.6,20.0,14.5,14.2,9.4,-30.1
growth_mom,2010-09-01,-4.7,-4.5,-8.6,-2.4,-2.0,-3.6,-17.1
abs,2010-10-01,54903920167.0,51682525493.0,3221394674.0,48123330374.0,44901935700.0,103027250541.0,6780589793.0
growth_yoy,2010-10-01,0.4,0.6,-3.3,12.4,13.8,5.7,-42.9
growth_mom,2010-10-01,9.1,8.3,24.3,10.7,9.9,9.9,-1.1
abs,2010-11-01,52637383728.0,49748636756.0,2888746972.0,43699771253.0,40811024281.0,96337154981.0,8937612475.0
growth_yoy,2010-11-01,5.1,4.8,10.8,6.3,6.0,5.6,-0.4
growth_mom,2010-11-01,-4.1,-3.7,-10.3,-9.2,-9.1,-6.5,31.8
abs,2010-12-01,57261799111.0,54016458278.0,3245340833.0,47476593113.0,44231252280.0,104738392224.0,9785205998.0
growth_yoy,2010-12-01,4.6,4.3,9.8,11.7,11.8,7.7,-19.9
growth_mom,2010-12-01,8.8,8.6,12.3,8.6,8.4,8.7,9.5
abs,2011-01-01,54683016662.0,51364385423.0,3318631239.0,44904001493.0,41585370254.0,99587018155.0,9779015169.0
growth_yoy,2011-01-01,4.1,3.0,25.6,13.8,13.0,8.3,-25.2
growth_mom,2011-01-01,-4.5,-4.9,2.3,-5.4,-6.0,-4.9,-0.1
abs,2011-02-01,50073854166.0,47081869493.0,2991984673.0,39232560871.0,36240576198.0,89306415037.0,10841293295.0
growth_yoy,2011-02-01,7.4,7.2,10.6,11.8,11.9,9.2,-6.0
growth_mom,2011-02-01,-8.4,-8.3,-9.8,-12.6,-12.9,-10.3,10.9
abs,2011-03-01,62478547229.0,58886447437.0,3592099792.0,50645016733.0,47052916941.0,113123563962.0,11833530496.0
growth_yoy,2011-03-01,5.1,4.7,12.6,12.4,12.4,8.3,-17.7
growth_mom,2011-03-01,24.8,25.1,20.1,29.1,29.8,26.7,9.2
abs,2011-04-01,58315213638.0,54943265358.0,3371948280.0,46777824113.0,43405875833.0,105093037751.0,11537389525.0
growth_yoy,2011-04-01,12.4,12.2,15.3,9.5,9.1,11.1,25.6
growth_mom,2011-04-01,-6.7,-6.7,-6.1,-7.6,-7.8,-7.1,-2.5
abs,2011-05-01,55354448687.0,51915799737.0,3438648950.0,46604122525.0,43165473575.0,101958571212.0,8750326162.0
growth_yoy,2011-05-01,5.9,5.1,18.5,5.7,4.8,5.8,6.8
growth_mom,2011-05-01,-5.1,-5.5,2.0,-0.4,-0.6,-3.0,-24.2
abs,2011-06-01,59050183477.0,55296353435.0,3753830042.0,50340683663.0,46586853621.0,109390867140.0,8709499814.0
growth_yoy,2011-06-01,11.9,11.2,23.4,7.7,6.6,9.9,44.2
growth_mom,2011-06-01,6.7,6.5,9.2,8.0,7.9,7.3,-0.5
abs,2011-07-01,59656829344.0,55981305442.0,3675523902.0,49780890765.0,46105366863.0,109437720109.0,9875938579.0
growth_yoy,2011-07-01,7.8,7.9,6.0,2.9,2.6,5.5,42.2
growth_mom,2011-07-01,1.0,1.2,-2.1,-1.1,-1.0,0.0,13.4
abs,2011-08-01,58622809123.0,54898737772.0,3724071351.0,47549200486.0,43825129135.0,106172009609.0,11073608637.0
growth_yoy,2011-08-01,11.0,9.9,31.4,6.8,5.1,9.1,33.9
growth_mom,2011-08-01,-1.7,-1.9,1.3,-4.5,-4.9,-3.0,12.1
abs,2011-09-01,58695595436.0,54812950206.0,3882645230.0,49043309539.0,45160664309.0,107738904975.0,9652285897.0
growth_yoy,2011-09-01,16.6,14.8,49.9,12.8,10.5,14.9,40.7
growth_mom,2011-09-01,0.1,-0.2,4.3,3.1,3.0,1.5,-12.8
abs,2011-10-01,63347032594.0,58350355726.0,4996676868.0,48939877454.0,43943200586.0,112286910048.0,14407155140.0
growth_yoy,2011-10-01,15.4,12.9,55.1,1.7,-2.1,9.0,112.5
growth_mom,2011-10-01,7.9,6.5,28.7,-0.2,-2.7,4.2,49.3
abs,2011-11-01,56820840954.0,52405395287.0,4415445667.0,47357700898.0,42942255231.0,104178541852.0,9463140056.0
growth_yoy,2011-11-01,7.9,5.3,52.8,8.4,5.2,8.1,5.9
growth_mom,2011-11-01,-10.3,-10.2,-11.6,-3.2,-2.3,-7.2,-34.3
abs,2011-12-01,60763566000.0,56374122231.0,4389443769.0,52451137812.0,48061694043.0,113214703812.0,8312428188.0
growth_yoy,2011-12-01,6.1,4.4,35.3,10.5,8.7,8.1,-15.1
growth_mom,2011-12-01,6.9,7.6,-0.6,10.8,11.9,8.7,-12.2
abs,2012-01-01,55113798764.0,51007415198.0,4106383566.0,46299370760.0,42192987194.0,101413169524.0,8814428004.0
growth_yoy,2012-01-01,0.8,-0.7,23.7,3.1,1.5,1.8,-9.9
growth_mom,2012-01-01,-9.3,-9.5,-6.4,-11.7,-12.2,-10.4,6.0
abs,2012-02-01,56960978238.0,52720667520.0,4240310718.0,46281107551.0,42040796833.0,103242085789.0,10679870687.0
growth_yoy,2012-02-01,13.8,12.0,41.7,18.0,16.0,15.6,-1.5
growth_mom,2012-02-01,3.4,3.4,3.3,-0.0,-0.4,1.8,21.2
abs,2012-03-01,62004146713.0,56552699233.0,5451447480.0,51331419683.0,45879972203.0,113335566396.0,10672727030.0
growth_yoy,2012-03-01,-0.8,-4.0,51.8,1.4,-2.5,0.2,-9.8
growth_mom,2012-03-01,8.9,7.3,28.6,10.9,9.1,9.8,-0.1
abs,2012-04-01,57876348153.0,52865978924.0,5010369229.0,50222817660.0,45212448431.0,108099165813.0,7653530493.0
growth_yoy,2012-04-01,-0.8,-3.8,48.6,7.4,4.2,2.9,-33.7
growth_mom,2012-04-01,-6.7,-6.5,-8.1,-2.2,-1.5,-4.6,-28.3
abs,2012-05-01,58930911972.0,53863945518.0,5066966454.0,54166561790.0,49099595336.0,113097473762.0,4764350182.0
growth_yoy,2012-05-01,6.5,3.8,47.4,16.2,13.7,10.9,-45.6
growth_mom,2012-05-01,1.8,1.9,1.1,7.9,8.6,4.6,-37.7
abs,2012-06-01,61059412421.0,54981621016.0,6077791405.0,51770512288.0,45692720883.0,112829924709.0,9288900133.0
growth_yoy,2012-06-01,3.4,-0.6,61.9,2.8,-1.9,3.1,6.7
growth_mom,2012-06-01,3.6,2.1,19.9,-4.4,-6.9,-0.2,95.0
abs,2012-07-01,58051281794.0,51286282405.0,6764999389.0,54504239100.0,47739239711.0,112555520894.0,3547042694.0
growth_yoy,2012-07-01,-2.7,-8.4,84.1,9.5,3.5,2.8,-64.1
growth_mom,2012-07-01,-4.9,-6.7,11.3,5.3,4.5,-0.2,-61.8
abs,2012-08-01,55668073212.0,50656662530.0,5011410682.0,48871576321.0,43860165639.0,104539649533.0,6796496891.0
growth_yoy,2012-08-01,-5.0,-7.7,34.6,2.8,0.1,-1.5,-38.6
growth_mom,2012-08-01,-4.1,-1.2,-25.9,-10.3,-8.1,-7.1,91.6
abs,2012-09-01,59942321870.0,54320836571.0,5621485299.0,53142734185.0,47521248886.0,113085056055.0,6799587685.0
growth_yoy,2012-09-01,2.1,-0.9,44.8,8.4,5.2,5.0,-29.6
growth_mom,2012-09-01,7.7,7.2,12.2,8.7,8.3,8.2,0.0
abs,2012-10-01,61229715163.0,54736064859.0,6493650304.0,51686300092.0,45192649788.0,112916015255.0,9543415071.0
growth_yoy,2012-10-01,-3.3,-6.2,30.0,5.6,2.8,0.6,-33.8
growth_mom,2012-10-01,2.1,0.8,15.5,-2.7,-4.9,-0.1,40.4
abs,2012-11-01,58316825835.0,52344669727.0,5972156108.0,49377602699.0,43405446591.0,107694428534.0,8939223136.0
growth_yoy,2012-11-01,2.6,-0.1,35.3,4.3,1.1,3.4,-5.5
growth_mom,2012-11-01,-4.8,-4.4,-8.0,-4.5,-4.0,-4.6,-6.3
abs,2012-12-01,57487433652.0,51583070061.0,5904363591.0,49022707677.0,43118344086.0,106510141329.0,8464725975.0
growth_yoy,2012-12-01,-5.4,-8.5,34.5,-6.5,-10.3,-5.9,1.8
growth_mom,2012-12-01,-1.4,-1.5,-1.1,-0.7,-0.7,-1.1,-5.3
abs,2013-01-01,57080009968.0,49872925917.0,7207084051.0,53724592564.0,46517508513.0,110804602532.0,3355417404.0
growth_yoy,2013-01-01,3.6,-2.2,75.5,16.0,10.2,9.3,-61.9
growth_mom,2013-01-01,-0.7,-3.3,22.1,9.6,7.9,4.0,-60.4
abs,2013-02-01,52493269342.0,45813794873.0,6679474469.0,44254804367.0,37575329898.0,96748073709.0,8238464975.0
growth_yoy,2013-02-01,-7.8,-13.1,57.5,-4.4,-10.6,-6.3,-22.9
growth_mom,2013-02-01,-8.0,-8.1,-7.3,-17.6,-19.2,-12.7,145.5
abs,2013-03-01,60049396558.0,53758414880.0,6290981678.0,55111512364.0,48820530686.0,115160908922.0,4937884194.0
growth_yoy,2013-03-01,-3.2,-4.9,15.4,7.4,6.4,1.6,-53.7
growth_mom,2013-03-01,14.4,17.3,-5.8,24.5,29.9,19.0,-40.1
abs,2013-04-01,55836591370.0,50515021030.0,5321570340.0,54771255537.0,49449685197.0,110607846907.0,1065335833.0
growth_yoy,2013-04-01,-3.5,-4.4,6.2,9.1,9.4,2.3,-86.1
growth_mom,2013-04-01,-7.0,-6.0,-15.4,-0.6,1.3,-4.0,-78.4
abs,2013-05-01,55656734155.0,49412111217.0,6244622938.0,52922490040.0,46677867102.0,108579224195.0,2734244115.0
growth_yoy,2013-05-01,-5.6,-8.3,23.2,-2.3,-4.9,-4.0,-42.6
growth_mom,2013-05-01,-0.3,-2.2,17.3,-3.4,-5.6,-1.8,156.7
abs,2013-06-01,56648840040.0,50422537115.0,6226302925.0,52423218308.0,46196915383.0,109072058348.0,4225621732.0
growth_yoy,2013-06-01,-7.2,-8.3,2.4,1.3,1.1,-3.3,-54.5
growth_mom,2013-06-01,1.8,2.0,-0.3,-0.9,-1.0,0.5,54.5
abs,2013-07-01,60629588129.0,52560572868.0,8069015261.0,57863972251.0,49794956990.0,118493560380.0,2765615878.0
growth_yoy,2013-07-01,4.4,2.5,19.3,6.2,4.3,5.3,-22.0
growth_mom,2013-07-01,7.0,4.2,29.6,10.4,7.8,8.6,-34.6
abs,2013-08-01,62795949689.0,52563717818.0,10232231871.0,55788771651.0,45556539780.0,118584721340.0,7007178038.0
growth_yoy,2013-08-01,12.8,3.8,104.2,14.2,3.9,13.4,3.1
growth_mom,2013-08-01,3.6,0.0,26.8,-3.6,-8.5,0.1,153.4
abs,2013-09-01,63283497110.0,55227082572.0,8056414538.0,54599253291.0,46542838753.0,117882750401.0,8684243819.0
growth_yoy,2013-09-01,5.6,1.7,43.3,2.7,-2.1,4.2,27.7
growth_mom,2013-09-01,0.8,5.1,-21.3,-2.1,2.2,-0.6,23.9
abs,2013-10-01,67193590152.0,57231839694.0,9961750458.0,58561683032.0,48599932574.0,125755273184.0,8631907120.0
growth_yoy,2013-10-01,9.7,4.6,53.4,13.3,7.5,11.4,-9.6
growth_mom,2013-10-01,6.2,3.6,23.6,7.3,4.4,6.7,-0.6
abs,2013-11-01,62408583265.0,54330662875.0,8077920390.0,52523550275.0,44445629885.0,114932133540.0,9885032990.0
growth_yoy,2013-11-01,7.0,3.8,35.3,6.4,2.4,6.7,10.6
growth_mom,2013-11-01,-7.1,-5.1,-18.9,-10.3,-8.5,-8.6,14.5
