date,bank,rate,value
1999-01-01,investment,fdr_6mo,6.27
1999-01-01,commercial,sr,3.81
1999-01-01,commercial,fdr_1mo,5.72
1999-01-01,investment,alr,10.54
1999-01-01,commercial,fdr_6mo,5.67
1999-01-01,commercial,alr,9.620000000000001
1999-01-01,commercial,fdr_3mo,5.72
1999-01-01,commercial,fdr_12mo,5.66
1999-01-01,investment,fdr_3mo,6.23
1999-02-01,investment,fdr_3mo,5.91
1999-02-01,investment,fdr_12mo,6.08
1999-02-01,commercial,blr,8.04
1999-02-01,investment,fdr_1mo,5.89
1999-02-01,investment,alr,10.41
1999-02-01,investment,fdr_9mo,8.03
1999-02-01,commercial,fdr_9mo,5.53
1999-02-01,commercial,walr,9.581872146556966
1999-02-01,commercial,sr,3.76
1999-02-01,investment,fdr_6mo,6.07
1999-02-01,commercial,fdr_1mo,5.58
1999-02-01,commercial,fdr_6mo,5.54
1999-02-01,commercial,alr,9.56
1999-02-01,commercial,fdr_3mo,5.59
1999-02-01,commercial,fdr_12mo,5.54
1999-03-01,commercial,fdr_3mo,5.44
1999-03-01,commercial,blr,8.04
1999-03-01,investment,fdr_3mo,5.66
1999-03-01,investment,fdr_12mo,5.87
1999-03-01,commercial,walr,9.574239321414614
1999-03-01,commercial,alr,9.56
1999-03-01,commercial,fdr_9mo,5.4
1999-03-01,commercial,sr,3.7
1999-03-01,investment,fdr_9mo,5.94
1999-03-01,investment,fdr_6mo,5.84
1999-03-01,commercial,fdr_1mo,5.39
1999-03-01,investment,fdr_1mo,5.59
1999-03-01,commercial,fdr_6mo,5.42
1999-03-01,investment,alr,10.28
1999-03-01,commercial,fdr_12mo,5.4
1999-04-01,commercial,fdr_12mo,4.06
1999-04-01,commercial,fdr_3mo,4.0
1999-04-01,investment,fdr_3mo,4.17
1999-04-01,commercial,blr,7.64
1999-04-01,investment,fdr_12mo,4.1
1999-04-01,commercial,walr,9.194335418863279
1999-04-01,commercial,alr,9.15
1999-04-01,investment,fdr_6mo,5.26
1999-04-01,investment,fdr_9mo,5.18
1999-04-01,commercial,fdr_9mo,4.05
1999-04-01,commercial,sr,3.24
1999-04-01,commercial,fdr_1mo,3.99
1999-04-01,investment,fdr_1mo,4.06
1999-04-01,commercial,fdr_6mo,4.04
1999-04-01,investment,alr,9.72
1999-05-01,commercial,fdr_12mo,3.8
1999-05-01,investment,fdr_3mo,3.88
1999-05-01,commercial,fdr_3mo,3.75
1999-05-01,investment,alr,9.12
1999-05-01,investment,fdr_12mo,4.06
1999-05-01,commercial,blr,7.24
1999-05-01,commercial,walr,8.715204671446317
1999-05-01,investment,fdr_9mo,4.48
1999-05-01,investment,fdr_6mo,3.72
1999-05-01,commercial,fdr_9mo,3.78
1999-05-01,commercial,sr,2.93
1999-05-01,commercial,fdr_1mo,3.75
1999-05-01,commercial,alr,8.620000000000001
1999-05-01,investment,fdr_1mo,3.57
1999-05-01,commercial,fdr_6mo,3.77
1999-06-01,commercial,fdr_12mo,3.8
1999-06-01,commercial,fdr_3mo,3.75
1999-06-01,investment,alr,8.55
1999-06-01,investment,fdr_3mo,3.5
1999-06-01,investment,fdr_12mo,3.93
1999-06-01,commercial,blr,7.24
1999-06-01,commercial,walr,8.629584440444386
1999-06-01,investment,fdr_9mo,4.31
1999-06-01,commercial,alr,8.44
1999-06-01,investment,fdr_6mo,3.61
1999-06-01,commercial,fdr_9mo,3.78
1999-06-01,investment,fdr_1mo,3.59
1999-06-01,commercial,fdr_1mo,3.75
1999-06-01,commercial,sr,2.92
1999-06-01,commercial,fdr_6mo,3.76
1999-07-01,investment,fdr_3mo,3.45
1999-07-01,commercial,alr,8.36
1999-07-01,investment,fdr_12mo,3.95
1999-07-01,commercial,walr,8.558006419223739
1999-07-01,commercial,blr,7.24
1999-07-01,investment,alr,8.33
1999-07-01,investment,fdr_6mo,3.54
1999-07-01,commercial,fdr_9mo,3.78
1999-07-01,commercial,fdr_3mo,3.75
1999-07-01,investment,fdr_9mo,4.84
1999-07-01,commercial,sr,2.87
1999-07-01,investment,fdr_1mo,3.36
1999-07-01,commercial,fdr_6mo,3.76
1999-07-01,commercial,fdr_1mo,3.75
1999-07-01,commercial,fdr_12mo,3.79
1999-08-01,commercial,alr,8.05
1999-08-01,commercial,fdr_1mo,3.75
1999-08-01,commercial,fdr_6mo,3.76
1999-08-01,investment,fdr_3mo,3.54
1999-08-01,commercial,fdr_12mo,3.79
1999-08-01,investment,fdr_6mo,3.58
1999-08-01,investment,fdr_9mo,4.21
1999-08-01,commercial,fdr_3mo,3.75
1999-08-01,commercial,sr,2.89
1999-08-01,investment,fdr_1mo,3.38
1999-08-01,commercial,fdr_9mo,3.77
1999-08-01,commercial,blr,6.79
1999-08-01,investment,alr,8.14
1999-08-01,investment,fdr_12mo,3.93
1999-08-01,commercial,walr,8.243517572732252
1999-09-01,commercial,blr,6.79
1999-09-01,investment,fdr_12mo,4.06
1999-09-01,commercial,fdr_9mo,3.77
1999-09-01,investment,alr,7.82
1999-09-01,investment,fdr_9mo,4.48
1999-09-01,commercial,sr,2.85
1999-09-01,commercial,fdr_6mo,3.76
1999-09-01,investment,fdr_6mo,3.72
1999-09-01,investment,fdr_3mo,3.88
1999-09-01,commercial,fdr_12mo,3.79
1999-09-01,commercial,fdr_3mo,3.75
1999-09-01,investment,fdr_1mo,3.57
1999-09-01,commercial,fdr_1mo,3.75
1999-09-01,commercial,walr,8.062439995321125
1999-09-01,commercial,alr,7.91
1999-10-01,investment,fdr_6mo,3.49
1999-10-01,commercial,fdr_9mo,3.67
1999-10-01,commercial,blr,6.79
1999-10-01,commercial,fdr_1mo,3.24
1999-10-01,commercial,walr,8.0507395805207
1999-10-01,investment,fdr_1mo,3.1
1999-10-01,commercial,fdr_3mo,3.33
1999-10-01,investment,fdr_9mo,4.38
1999-10-01,investment,fdr_12mo,3.9
1999-10-01,investment,fdr_3mo,3.16
1999-10-01,commercial,sr,2.78
1999-10-01,investment,alr,7.74
1999-10-01,commercial,alr,7.88
1999-10-01,commercial,fdr_6mo,3.47
1999-10-01,commercial,fdr_12mo,3.93
1999-11-01,commercial,sr,2.74
1999-11-01,investment,fdr_6mo,3.32
1999-11-01,commercial,fdr_12mo,3.93
1999-11-01,commercial,walr,7.995406725309627
1999-11-01,commercial,fdr_1mo,3.24
1999-11-01,commercial,alr,7.84
1999-11-01,commercial,fdr_6mo,3.46
1999-11-01,investment,fdr_9mo,4.46
1999-11-01,investment,fdr_3mo,3.22
1999-11-01,investment,fdr_12mo,4.0
1999-11-01,investment,alr,7.65
1999-11-01,commercial,fdr_3mo,3.33
1999-11-01,investment,fdr_1mo,3.12
1999-11-01,commercial,blr,6.79
1999-11-01,commercial,fdr_9mo,3.67
1999-12-01,commercial,fdr_6mo,3.47
1999-12-01,investment,alr,7.58
1999-12-01,commercial,fdr_9mo,3.68
1999-12-01,commercial,blr,6.79
1999-12-01,investment,fdr_3mo,3.17
1999-12-01,commercial,fdr_3mo,3.33
1999-12-01,investment,fdr_1mo,3.1
1999-12-01,commercial,sr,2.76
1999-12-01,commercial,alr,7.75
1999-12-01,investment,fdr_6mo,3.27
1999-12-01,investment,fdr_12mo,4.0
1999-12-01,investment,fdr_9mo,3.54
1999-12-01,commercial,fdr_12mo,3.95
1999-12-01,commercial,walr,7.941645134616618
1999-12-01,commercial,fdr_1mo,3.24
2000-01-01,investment,fdr_6mo,3.29
2000-01-01,commercial,fdr_9mo,3.65
2000-01-01,commercial,fdr_12mo,3.94
2000-01-01,investment,fdr_12mo,3.83
2000-01-01,commercial,sr,2.7
2000-01-01,commercial,alr,7.8100000000000005
2000-01-01,commercial,fdr_1mo,3.24
2000-01-01,investment,alr,7.45
2000-01-01,commercial,fdr_6mo,3.44
2000-01-01,commercial,fdr_3mo,3.3200000000000003
2000-01-01,investment,fdr_1mo,3.13
2000-01-01,investment,fdr_9mo,3.35
2000-01-01,investment,fdr_3mo,3.15
2000-01-01,commercial,blr,6.79
2000-01-01,commercial,walr,7.939268143829711
2000-02-01,commercial,fdr_3mo,3.3000000000000003
2000-02-01,commercial,walr,7.914193741460906
2000-02-01,investment,fdr_3mo,3.0500000000000003
2000-02-01,commercial,fdr_1mo,3.23
2000-02-01,investment,fdr_9mo,3.52
2000-02-01,commercial,fdr_6mo,3.39
2000-02-01,investment,alr,7.48
2000-02-01,commercial,fdr_12mo,3.94
2000-02-01,commercial,alr,7.79
2000-02-01,investment,fdr_6mo,3.13
2000-02-01,investment,fdr_1mo,3.0100000000000002
2000-02-01,commercial,fdr_9mo,3.58
2000-02-01,commercial,sr,2.7
2000-02-01,commercial,blr,6.79
2000-02-01,investment,fdr_12mo,3.9
2000-03-01,commercial,fdr_1mo,3.22
2000-03-01,commercial,walr,7.858284125740242
2000-03-01,commercial,fdr_6mo,3.37
2000-03-01,investment,fdr_3mo,3.0500000000000003
2000-03-01,commercial,fdr_12mo,3.91
2000-03-01,investment,fdr_9mo,3.3
2000-03-01,commercial,alr,7.74
2000-03-01,investment,fdr_12mo,3.8
2000-03-01,commercial,sr,2.7
2000-03-01,commercial,fdr_3mo,3.2800000000000002
2000-03-01,investment,fdr_1mo,2.99
2000-03-01,commercial,blr,6.79
2000-03-01,commercial,fdr_9mo,3.55
2000-03-01,investment,alr,7.4
2000-03-01,investment,fdr_6mo,3.24
2000-04-01,commercial,fdr_1mo,3.21
2000-04-01,investment,fdr_6mo,3.16
2000-04-01,commercial,walr,7.851899367126378
2000-04-01,investment,alr,7.36
2000-04-01,investment,fdr_3mo,3.04
2000-04-01,commercial,fdr_6mo,3.34
2000-04-01,investment,fdr_9mo,3.55
2000-04-01,commercial,alr,7.7700000000000005
2000-04-01,commercial,fdr_12mo,3.91
2000-04-01,commercial,fdr_3mo,3.27
2000-04-01,commercial,sr,2.68
2000-04-01,investment,fdr_12mo,3.65
2000-04-01,investment,fdr_1mo,2.91
2000-04-01,commercial,blr,6.79
2000-04-01,commercial,fdr_9mo,3.52
2000-05-01,commercial,fdr_1mo,3.21
2000-05-01,investment,fdr_6mo,3.21
2000-05-01,commercial,walr,7.813028781717339
2000-05-01,commercial,fdr_6mo,3.33
2000-05-01,investment,fdr_3mo,3.09
2000-05-01,investment,fdr_9mo,3.8
2000-05-01,commercial,alr,7.7700000000000005
2000-05-01,investment,alr,7.2700000000000005
2000-05-01,commercial,fdr_12mo,3.91
2000-05-01,commercial,sr,2.68
2000-05-01,investment,fdr_12mo,3.67
2000-05-01,commercial,fdr_3mo,3.2600000000000002
2000-05-01,commercial,fdr_9mo,3.51
2000-05-01,commercial,blr,6.76
2000-05-01,investment,fdr_1mo,2.94
2000-06-01,commercial,alr,7.66
