notif_no,product,holder,manufacturer,substance_detected
NOT171202673K,TATI ULTRA NIGHT CREAM,NH BIZ RESOURCES,Nund Skintech,MERCURY
NOT211004813K,TEMPIAS HAWA MASTER RECOVERY SKIN RSKIN,Tempias Hawa Sdn Bhd,"IREAL PLUS (THAILAND) CO., LTD.",MERCURY
NOT240302868K,THE PERFECT DERMA CREAM,1PCT DAILY MANAGEMENT SDN. BHD.,SKCC LABORATORIES SDN. BHD.,"MICONAZOLE,PARACETAMOL"
NOT200800620K,TONER TREATMENT EWSB,ENIQ WORLD SDN. BHD.,GUANGZHOU BOYA COSMETICS CO LTD,"TRETINOIN,HYDROQUINONE"
NOT190107782K,TRESORS NATURAL HERBAL CREAM,JOIS TRADING-IN,"TAIWAN FUNUNG COSMETIC WORKS CO., LTD.","KETOCONAZOLE,CHLORAMPHENICOL,TRIMETHOPRIM,SULFAMETHOXAZOLE"
NOT240102162K,UFORA ADVANCE REPAIR SOLUTION,UFORA COSMETICS SDN. BHD.,RADIANCE MANUFACTURING SDN. BHD.,HYDROQUINONE
NOT180706781K,V3 PREMIER BEAUTY FACIAL NIGHT CREAM,BRIGHT BEAUTY AND COSMETICS ,PT. ADEV NATURAL INDONESIA,HYDROQUINONE
NOT170203545K,VSL BEAUTY CARE TONER A,QEMRICH SDN. BHD.,QEMRICH SDN. BHD.,HYDROQUINONE
NOT220503570K,ZEN GARDEN HAND SANITIZER,LOVING HANDS MARKETING,LOVING HANDS MARKETING,ISOPROPYL ALCOHOL
NOT220605474K,ZMY Magnetic Aura NIGHT CREAM,ZEEMOYU BEAUTY & HEALTH,CL COSMETIC INDUSTRIES SDN. BHD.,MERCURY
NOT190906503K,ZUYA SKINCARE NIGHT TREATMENT A CREAM,MASHA BEAUTY & HEALTH,"INTERCOSMED CO., LTD.",MERCURY
