company,state,postcode,address,poison,non_poison,traditional,health_supplement,poison_vet,non_poison_vet
ASP MEDICAL CLINIC SDN. BHD.,Pulau Pinang,11900,"823-1-3, JALAN PAYA TERUBONG",1,1,1,1,0,0
ASPEN SARL SDN. BHD.,Selangor,46150,"NO. 9, JALAN PJS 11/14 BANDAR SUNWAY",0,0,1,1,0,0
ASWAT PHARMACY MANAGEMENT & RETAIL CONSULTANCY SDN BHD,Perak,31300,"NO. 25, PERSIARAN SENGAT BARU 2 TAMAN BERSATU",1,1,1,1,0,0
ATTIVO HEALTHCARE SDN. BHD.,Selangor,47810,"Unit A-3A-18, Kompleks Perindustrian Emhub, Persiaran Surian Seksyen 3, Taman Sains Selangor Kota Damansara",0,1,1,1,0,1
AULIAH STORE SDN BHD,Sabah,91112,"MDLD 0054, BLOK 41 JALAN TERATAI, PETI SURAT 60321",0,1,1,1,0,0
AUROMED PLT,Sabah,88450,"LOT NO. G43, GROUND FLOOR 1 SULAMAN, JALAN SULAMAN",0,1,1,1,0,0
AUSTAR MARKETING SDN BHD,Sabah,88000,"NO. 14, JALAN TAMAN INANAM INANAM TOWNSHIP",0,1,0,1,0,0
AV PHARMA ENTERPRISE,Selangor,47120,"28A, JALAN BP 6/6 BANDAR BUKIT PUCHONG",0,1,0,1,0,0
AVANTSAR INTERNATIONAL SDN. BHD.,Sarawak,98000,"NO. 124-126, JALAN BENDAHARA P.O.BOX 547",0,1,1,1,0,1
Avantsar Sdn Bhd,Sarawak,98007,"NO. 124-126, JALAN BENDAHARA P.O. BOX 547",0,1,1,1,0,0
AVELON HEALTHCARE SDN. BHD.,W.P. Kuala Lumpur,52100,"A18, JALAN KUANG BULAN TAMAN KEPONG",1,1,1,1,0,0
AVERROES PHARMACEUTICALS SDN. BHD.,Selangor,40100,"03-08-01 & 03-09-01, BLOCK 3, PRESINT ALAMI WORLDWIDE BUSINESS CENTRE II, PERSIARAN AKUATIK SEKSYEN 13",1,1,1,1,0,0
AVETECH HEALTHCARE SDN. BHD.,Selangor,47301,"C-9-27, CENTUM @ OASIS CORPORATE PARK NO. 2, JALAN PJU 1A/2 ARA DAMANSARA",1,1,1,1,0,0
AYURCO WELLNESS (M) SDN. BHD.,Selangor,46200,"ROOMS 3 & 4, 3RD FLOOR, BANGUNAN SSAAS NO. 16, JALAN UTARA",0,0,1,1,0,0
AZAM BEKAL ENTERPRISE,W.P. Kuala Lumpur,59200,"UNIT 1-9, CENTRIO PANTAI HILLPARK NO. 1, JALAN PANTAI MURNI",1,1,1,1,0,0
AZAM LOGISTICS,Kedah,08000,"NO. 1-A, JALAN SONGKET 1 TAMAN SONGKET",1,1,1,1,0,0
B-CROBES (M) SDN. BHD.,Selangor,47610,"No. 31B, Jalan USJ 10/1E USJ 10",0,1,0,1,0,0
B-CROBES MARKETING (M) SDN BHD,Selangor,47610,"31B, JALAN USJ 10/1E",0,1,0,1,0,0
B. Braun Medical Supplies Sdn Bhd,Selangor,47800,"Crown Penthouse, Plaza IBM 8, 1st Avenue Persiaran Bandar Utama",1,1,0,1,0,0
BALING PHARMACY SDN. BHD.,Kedah,09100,"NO. 6, JALAN SYED SHEIKH",1,1,1,1,0,0
BAN CHOON TRADING CO.,Perak,30300,"27, JALAN FOO YET KAI",0,1,1,1,0,0
BAN SAN CHAN (MELAKA) SDN BHD,Melaka,75200,"53, JALAN KAMPONG PANTAI",0,0,1,0,0,0
Bandar Dato Onn Specialist Hospital Sdn Bhd,Johor,81100,"No. 2, Jalan Bukit Mutiara Taman Bukit Mutiara",1,1,1,1,0,0
Baroko Sdn Bhd,Selangor,47600,No.19-2 Jalan USJ 9/5P UEP Subang Jaya,1,1,0,1,0,0
BE International Marketing Sdn Bhd,W.P. Kuala Lumpur,57000,"C-20-G, Jalil Link 2 No.5, Jalan Jalil Perkasa 1 Bukit Jalil",0,0,1,1,0,0
BE INTERNATIONAL SDN BHD,W.P. Kuala Lumpur,57000,"C-22-2, Jalil Link 2, No. 5, Jalan Jalil Perkasa 1, Bukit Jalil",0,0,1,1,0,0
BE MED SDN BHD,Selangor,47100,"23 & 25, JALAN KEKWA 1 TAMAN PUCHONG PERDANA",1,1,1,1,0,0
BE-P Pharmacy Sdn Bhd,W.P. Kuala Lumpur,50300,"NO. 17, 19 & 21 (TINGKAT 2) JALAN MEDAN TUANKU 1 MEDAN TUANKU",1,1,1,1,0,0
BEACON PHARMACY SDN BHD.,W.P. Kuala Lumpur,52200,"A-1-31, PLAZA MEDAN PUTRA JALAN MEDAN PUTRA 6 MEDAN PUTRA BUSINESS CENTRE, BANDAR MENJALARA",1,0,0,0,0,0
BEANSENG NT SDN BHD,Pulau Pinang,14300,"4, JALAN INDUSTRI 2 KAWASAN INDUSTRI BUKIT PANCHOR",0,1,0,1,0,0
BEMED PHARMA SDN BHD,Selangor,47100,23A & 25A JALAN KEKWA TAMAN PUCHONG PERDANA,1,1,1,1,0,0
BEN WAY MARKETING RESOURCES SDN BHD,Negeri Sembilan,70450,"NO. 2880, 2881, 2882 & 2883 JALAN SJ 3/6C, TAMAN SEREMBAN JAYA",0,1,1,1,0,0
BENARLAB SDN BHD,Selangor,47500,"9GF, JALAN SS18/6,",1,0,0,0,1,0
BENG HUAT MM SDN BHD,Kelantan,16100,"S/39, PT692, KAWASAN INDUSTRI JALAN PADANG TEMBAK",0,1,0,1,0,0
Besmed Medical Supplies,Perak,31400,"Intan Business Centre 2, B-G-4 Lebuh Medan Ipoh Bandar Baru Medan Ipoh",0,0,1,1,0,0
BEST CHOICE MARKETING SERVICES,W.P. Labuan,87008,LOT IR3/03 SERI LABUAN LIGHT INDUSTRIAL WAREHOUSE,0,1,0,1,0,0
Bestcare Pharmacy,Sarawak,98100,"Lot 3604, Blk. 5, KBLD Desa Senadin Phase 2",1,1,1,1,0,0
BIG PHARMACY (SARAWAK) SDN. BHD.,Sarawak,93250,"LOT 6426, 6427, 6428, 6429 (S/L 54, 55, 56, 57), BLOCK 225, KNLD PUSAT KOMERSIAL EMART BATU KAWA JALAN BATU KAWA",1,0,0,0,0,0
BIG PHARMACY AVENUE SDN. BHD.,Selangor,43000,"LOT 50, 51, 51A & 52 JALAN RAJA HAROUN",1,1,1,1,0,0
BIO-LIFE MARKETING SDN. BHD.,Selangor,47301,"B-28-02, The Ascent, Paradigm No. 1, Jalan SS7/26A, Kelana Jaya",0,1,0,1,0,0
BIO-NANOSCIENCES (M) SDN. BHD.,Selangor,47400,"UNIT 1106, 11TH FLOOR BLOCK A, DAMANSARA INTAN NO. 1, JALAN SS20/27",0,0,1,1,0,0
BIO-PHARMACEUTICALS SDN. BHD.,Selangor,40460,"NO. 48-2, JALAN SUNGAI BURUNG AA32/AA BUKIT RIMAU SEKSYEN 32",1,1,1,1,0,0
BIO-SCIENCE MARKETING SDN. BHD.,W.P. Kuala Lumpur,52100,"NO. 20 & 20-1, JALAN METRO PERDANA BARAT 13 SRI EDARAN INDUSTRIAL PARK OFF JALAN KEPONG",0,0,1,1,0,0
BioCare Pharmaceutical (M) Sdn. Bhd.,Selangor,46150,"NO. 28G, 28-1 & 28-2 PUSAT DAGANGAN PJCC, JALAN PJS 5/28",1,1,1,1,0,0
BIOCON SDN BHD,Johor,79200,"No. 1, Jalan Bioteknologi 1 Kawasan Perindustrian SiLC",1,0,0,0,0,0
Biofizz Marketing Sdn Bhd,Perak,30100,"30, Jalan Kilang 3, Kawasan Perindustrian Jelapang,",0,1,1,1,0,0
BIOFRESH GROWTH SDN. BHD.,Selangor,41200,"168, JALAN BATU UNJUR 1 TAMAN BAYU PERDANA,",1,0,0,0,0,0
BIOFUNCTION MARKETING SDN. BHD.,Selangor,46100,"NO. 20, JALAN 51A/225A SECTION 51A, ZON PERINDUSTRIAN PJCT",0,0,1,1,0,0
BIOPLUS HEALTHCARE SDN BHD,Pulau Pinang,14100,"33, Jalan Perniagaan Vorteks 5 Pusat Perniagaan Vorteks",0,0,1,1,0,0
Biotropics Malaysia Berhad,Selangor,40150,"LOT 21 (TINGKAT BAWAH, TINGKAT 1 & 2) JALAN JURUUKUR U1/19 HICOM GLENMARIE INDUSTRIAL PARK, SEKSYEN U1",0,0,1,0,0,0
BIOXIS HOLDINGS SDN BHD,Pulau Pinang,14100,"PMT1241, JALAN PERINDUSTRIAN BUKIT MINYAK 8, TAMAN PERINDUSTRIAN BUKIT MINYAK",0,1,1,1,0,0
BNATURE HEALTH SDN BHD,Selangor,43200,"NO. 62A-2, JALAN TEMENGGUNG 19/9 BANDAR MAHKOTA CHERAS",0,1,1,1,0,0
BONLIFE (M) SDN BHD,Selangor,68100,"A-1-29, 162 Residency KM 12, Jalan Ipoh-Rawang",0,0,1,1,0,0
BOON PHARMACY SDN. BERHAD,Pulau Pinang,10100,"184, CAMPBELL STREET",1,1,0,1,0,0
BORNEO DISPENSARY (BT.8) SDN BHD,Sabah,90706,"LOT 3, BLOK F, TINGKAT BAWAH, BANDAR SIBUGA JAYA, BATU 8, JALAN LABUK PETI SURAT 528",1,1,1,1,1,1
BORNEO DISPENSARY SDN BHD,Sabah,90706,"LOT 4, BLOK 19, TINGKAT BAWAH & 1 BANDAR INDAH, BATU 4, JALAN UTARA",1,1,1,1,0,0
BORNEO INDAH SDN BHD,Sarawak,93450,"NO. 23, LOT 120, SEC. 63, 1ST FLOOR JALAN DATUK ABANG ABDUL RAHIM 5",0,1,0,1,0,1
BORNEO PHARMACY SUPPLIES SDN. BHD.,Sarawak,93050,"LOT 843, BLOCK 7, MTLD SEJINGKAT INDUSTRIAL PARK",1,1,1,1,0,0
Borneo Specialist Hospital Sdn Bhd,Sarawak,93350,"Lot 10992, Section 64 Kuching Town Land District Jalan Tun Jugah",1,1,1,1,0,0
Borneosew Medical Trading (M) Sdn Bhd,Selangor,47500,"57, Jalan SS 18/6",1,1,0,1,1,1
BP NUTRISCIENCE SDN. BHD.,Pulau Pinang,14100,"33, Jalan Perniagaan Vorteks 5 Pusat Perniagaan Vorteks",0,0,1,1,0,0
BP Synergy Pharm Sdn. Bhd.,Pulau Pinang,14100,"33, Jalan Perniagaan Vorteks 5 Pusat Perniagaan Vorteks",0,0,1,1,0,0
BREGO LIFE SCIENCES SDN. BHD,W.P. Kuala Lumpur,56100,"NO. 5, JALAN MANIS 6 TAMAN SEGAR",0,0,1,1,0,0
BRIGHTWAY PHARMA SDN. BHD.,Sarawak,98000,"GF, LOT 2934 FARADALE GARDEN JALAN BULAN SABIT",1,0,0,0,0,0
BST MARKETING AND SALES SDN BHD,Kelantan,16100,"LOT 3152-D, JALAN 2 KAWASAN PERINDUSTRIAN PENGKALAN CHEPA FASA II",0,1,0,1,0,0
BSV BIOSCIENCE MALAYSIA SDN. BHD.,Selangor,46300,"NO. 3, JALAN 19/1 SEKSYEN 19",1,0,1,1,0,0
BUMARI SDN. BHD.,Pulau Pinang,13400,No. 4722 Jalan Permatang Pauh,0,1,1,1,0,0
C.Y.C. HEALTH & BEAUTY SDN. BHD.,Sabah,91000,"RIA PHARMACY TB 8271, LOT 8C, GROUND & 1ST FLOOR PERDANA SQUARE COMMERCIAL CENTRE, MILE 3 1/2, JALAN APAS",1,1,0,1,0,0
Cabemi Pharma Sdn. Bhd.,Sarawak,98200,"Lot 336, Block 20 Niah Land District Batu Niah Feeder Road",1,0,0,0,0,0
CAHAYA INDAH PHARMA SDN BHD,Sarawak,93050,"LOT 12G, BLOCK M, LOT 6344, SECTION 65, KTLD, SYNERGY SQUARE, JALAN MATANG,",1,1,1,1,0,0
CAMBERT(M) SDN. BHD.,Selangor,47500,"8th Floor, Wisma Consplant 1 No. 2, Jalan SS16/4",0,1,1,1,0,0
Capetown Wonder Sdn. Bhd.,Selangor,47810,"LOT A-02-33A, KOMPLEKS PERINDUSTRIAN EMHUB PERSIARAN SURIAN, SEKSYEN 3 TAMAN SAINS SELANGOR, KOTA DAMANSARA",0,0,1,1,0,0
CAREMARK SDN. BHD.,Selangor,47810,"B-06-09, KOMPLEKS PERINDUSTRIAN EMHUB PERSIARAN SURIAN, SEKSYEN 3 TAMAN SAINS SELANGOR, KOTA DAMANSARA",0,0,1,1,0,0
CARETTITUDE SDN BHD,Pulau Pinang,11500,"1B, JALAN AYER PUTEH",1,1,0,1,0,0
CARING PHARMACY RETAIL MANAGEMENT SDN. BHD.,Johor,81100,"PLO 59, NO. 3, JALAN FIRMA 2/3 KAWASAN PERINDUSTRIAN TEBRAU 1",1,1,1,1,0,0
CENTRAL PHARMACY SDN BHD,Sarawak,96000,"No. 18 & 22, Lorong Bukit Lima Timur 2A",1,0,0,0,0,0
Centrigate Sdn. Bhd.,Selangor,47301,"E-1-35, Block E Jalan PJU 1A/3, Taipan 2 Ara Damansara",1,1,0,1,0,0
CEVA LOGISTICS (MALAYSIA) SDN BHD,Selangor,40150,"Lot No. 9A (Tingkat G, Tingkat 1 & Tingkat 2) & Lot No. 9B (Tingkat G, Tingkat Mezzanin & Tingkat 1) Jalan Tiang U8/92 Kawasan Perindustrian Bukit Jelutong, Seksyen U8",0,1,0,1,0,0
CHC DISTRIBUTORS (M) SDN BHD,Selangor,42200,"NO. 20, JALAN WAWASAN 1 KAWASAN PERINDUSTRIAN SUNGAI KAPAR INDAH",0,1,0,1,0,0
CHC MERCHANDISE (M) SDN BHD,Selangor,42200,"NO. 20, JALAN WAWASAN 1 KAWASAN PERINDUSTRIAN SUNGAI KAPAR INDAH",0,1,0,1,0,0
CHC SDN BHD,Selangor,42200,"NO. 20, JALAN WAWASAN 1 KAWASAN PERINDUSTRIAN SUNGAI KAPAR INDAH",0,1,0,1,0,0
Cheh Ming Sdn. Bhd.,Sarawak,96000,"14A, LORONG 2 JALAN SUNGAI ANTU",0,0,1,0,0,0
CHEM CITY PHARMACY SDN. BHD.,Johor,84000,"NO. 69, TINGKAT BAWAH, JALAN PESTA TAMAN TUN DR. ISMAIL",1,1,1,1,0,0
CHEMTECQ SERVICES SDN BHD,Sarawak,93350,LOT 11899-4-8 (26 3RD FLOOR) TABUAN STUTONG COMMERCIAL CENTRE PHASE 2 JALAN SETIA RAJA,1,0,0,0,0,0
CHEW HOCK CHOON,Sarawak,96000,"NO. 9, JALAN BANK",0,1,1,1,0,1
CHINESE PATENT MEDICINES & MEDICATED LIQUORS CENTRE (PENANG) SDN. BHD.,Pulau Pinang,10050,"16, Jalan Dato Koyah",0,0,1,1,0,0
CHINI ENTERPRISE (M) SDN. BHD.,W.P. Kuala Lumpur,50350,"LOT 32.03, LEVEL 32 SUNWAY PUTRA TOWER 100, JALAN PUTRA",0,0,1,1,0,0
Choon Eng (Sarawak) Sdn Bhd,Sarawak,93050,"Lot 1528, Block 8, Muara Tebas Land District Demak Laut Industrial Park Off Jalan Bako",0,1,1,1,0,0
CHOON HUA TRADING CORPORATION (SARAWAK) SDN BHD,Sarawak,96000,"LOT 480, BLOCK 19 LORONG THEN KUNG SUK 4 UPPER LANANG",0,1,1,1,0,0
