reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL07124646T,TEH HERBA plus CITRUS ORANG KAMPUNG,NATURAL PRODUCT,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,PERNIAGAAN ORANG KAMPUNG SDN. BHD.,2017-12-29,2022-12-29
MAL19962522XC,DEQUADIN LOZENGES,NON PRESCRIPTION,iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch,STERLING DRUG (MALAYA) SDN. BHD.,2017-12-30,2022-12-30
MAL20031765XCR,CALCIUM  & MAGNESIUM PLUS TABLETS,HEALTH SUPPLEMENT,BIO-LIFE MARKETING SDN. BHD.,Lipa Pharmaceuticals Limited,2017-12-30,2022-12-30
MAL12125002NCS,NATURAL NEW ZEALAND KING SALMON FISH OIL,HEALTH SUPPLEMENT,Cambrian (M) Sdn Bhd,Halagel Plant (M) Sdn. Bhd.,2018-01-04,2023-01-04
MAL19921044X,UCALTATE TABLETS 300MG,NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-01-04,2023-01-04
MAL18016002HAC,"Collis Colistin 1,500,000 IU/g Water Soluble Powder",VETERINARY ,Nutri Pharmax Sdn Bhd,Nam Pharma Sdn. Bhd.,2018-01-04,2023-01-04
MAL18016152NC,Shaklee ZINC PLUS TABLETS,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,DELAVAU LLC,2018-01-10,2023-01-10
MAL18016068NC,Shaklee PHYTOCOL-ST TABLETS,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,NUTRA MANUFACTURING INC,2018-01-10,2023-01-10
MAL18016065NCZ,MiQa ProVit C Powder,HEALTH SUPPLEMENT,MANH SOLUTIONS,ORI BIONATURE (M) SDN BHD,2018-01-10,2023-01-10
MAL18016105TC,ACQUE Virgin Coconut Oil 500mg Softgels,NATURAL PRODUCT,Premium VCO International Sdn Bhd,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN. BHD.,2018-01-10,2023-01-10
MAL13015023TC,ROYAL Bird's Nest EBN Cordyceps,NATURAL PRODUCT,ROYAL BIRD`S NEST SDN. BHD.,HERBAL SCIENCE SDN. BHD.,2018-01-23,2023-01-23
MAL20031979XCR,TOCO-E (TOCOTRIENOLS 50MG) SOFTGEL CAPSULES,HEALTH SUPPLEMENT,ADVANCED NUTRICS BIOACTIVE,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2018-01-27,2023-01-27
MAL20032031T,MODERE Vigor,NATURAL PRODUCT,MODERE MALAYSIA SDN. BHD.,"MODERE, INC.",2018-01-27,2023-01-27
